timestamp,src_ip,type,niveau,details
2026-06-23 14:18:41,192.168.100.128,PORT_SCAN,HAUT,1000 ports scannés
2026-06-23 14:18:41,192.168.100.128,BRUTE_FORCE_SSH,HAUT,82 tentatives SSH
2026-06-23 14:18:41,192.168.100.129,DDOS,MOYEN,1610 paquets envoyés
2026-06-23 14:18:41,192.168.100.128,DDOS,MOYEN,2230 paquets envoyés
2026-06-23 14:18:41,192.168.100.128,ARP_SPOOFING,HAUT,1084 paquets ARP suspects
2026-06-23 14:18:41,192.168.100.254,ARP_SPOOFING,HAUT,6 paquets ARP suspects
2026-06-23 14:18:41,192.168.100.128,PING_FLOOD,MOYEN,58 paquets ICMP suspects
